snapped_at,price,market_cap,total_volume
2020-02-22 00:00:00 UTC,1.1460456414237608,2161337.361738533,1694435.2070807826
2020-02-23 00:00:00 UTC,1.1544799012761169,2193564.054372383,1761700.6638443458
2020-02-24 00:00:00 UTC,1.211458148211755,2337828.7738206913,1825532.222262636
2020-02-25 00:00:00 UTC,1.2837884513784965,2534984.296301901,1784483.9202105298
2020-02-26 00:00:00 UTC,1.2159462835456953,2442511.322337658,1796120.895998602
2020-02-27 00:00:00 UTC,1.1436637584058333,2576467.9105262686,1622762.9846377107
2020-02-28 00:00:00 UTC,1.1867853753603728,2710437.5775721157,1654487.8340070955
2020-02-29 00:00:00 UTC,1.2514369529048575,3036184.907687203,1521215.8983745675
2020-03-01 00:00:00 UTC,1.1616574285631427,2892421.5826917896,869769.4734176203
2020-03-02 00:00:00 UTC,1.174367706106606,2950314.028422202,798922.0431689197
2020-03-03 00:00:00 UTC,1.2464861490143337,3204744.6829065518,1227749.6982566002
2020-03-04 00:00:00 UTC,1.3842469331849805,3638769.178398039,1368598.1885391234
2020-03-05 00:00:00 UTC,1.709099422155096,4937818.05328083,1590435.0655390825
2020-03-06 00:00:00 UTC,1.5040194497336008,4661812.0804904895,404643.97884969355
2020-03-07 00:00:00 UTC,1.5840236932625655,5188948.772835362,486659.7937228543
2020-03-08 00:00:00 UTC,1.4912666043094114,5130996.605953858,308992.29671995284
2020-03-09 00:00:00 UTC,1.2379759243912918,4510879.549521428,308067.02641308616
2020-03-10 00:00:00 UTC,1.1830051618402235,4454821.673302601,172778.10908891275
2020-03-11 00:00:00 UTC,1.1119316749176869,4246307.272937181,289733.5393466193
2020-03-12 00:00:00 UTC,0.9892437501360919,3820756.6657330845,312663.4179972003
2020-03-13 00:00:00 UTC,0.5994917327215644,2309059.417151719,151831.26873717323
2020-03-14 00:00:00 UTC,0.5797946534959163,2191458.9077301854,60987.10074069222
2020-03-15 00:00:00 UTC,0.5369522520476379,1965082.0805803146,127521.21647196087
2020-03-16 00:00:00 UTC,0.546004636421946,1900288.3410562556,145416.91072279625
2020-03-17 00:00:00 UTC,0.49865171265139685,1659983.2580619077,183225.22687877264
2020-03-18 00:00:00 UTC,0.5256775123817645,1657927.5596788132,218464.96887239118
2020-03-19 00:00:00 UTC,0.5276492302317988,1592798.8106570074,149610.91119833244
2020-03-20 00:00:00 UTC,0.6677448321163794,1904413.5039980889,317479.8349774414
2020-03-21 00:00:00 UTC,0.6744229924756068,1834230.2833051486,740515.9928107973
2020-03-22 00:00:00 UTC,0.6613262838662223,1751828.5134818873,837504.1736692077
2020-03-23 00:00:00 UTC,0.6702800442763361,1746883.6789285361,924737.0393734329
2020-03-24 00:00:00 UTC,0.863719165509707,2130024.4370499295,1106359.2059145337
