snapped_at,price,market_cap,total_volume
2021-05-15 00:00:00 UTC,2.0470448715657836,0.0,214166.6223653925
2021-05-16 00:00:00 UTC,2.0470448715657836,0.0,214166.6223653925
2021-05-17 00:00:00 UTC,1.6527129689883961,0.0,1687655.3847238356
2021-05-18 00:00:00 UTC,1.6928498518882646,0.0,1203362.8980089151
2021-05-19 00:00:00 UTC,1.7277461437773804,0.0,1221390.3916351637
2021-05-20 00:00:00 UTC,1.4659356370245549,0.0,924325.9210842437
2021-05-21 00:00:00 UTC,1.6199023456749808,0.0,833326.2024021125
2021-05-22 00:00:00 UTC,1.5906938182200856,0.0,526907.036541207
2021-05-23 00:00:00 UTC,1.7404142702877547,0.0,691861.6491180107
2021-05-24 00:00:00 UTC,1.8054041462750068,0.0,503572.8471255727
2021-05-25 00:00:00 UTC,2.254061836589201,0.0,37112.72490041062
2021-05-26 00:00:00 UTC,1.7394841974293986,0.0,874716.1769816322
2021-05-27 00:00:00 UTC,1.6005669117075674,0.0,462315.77018833545
2021-05-28 00:00:00 UTC,1.607017188320462,0.0,108593.45728094153
2021-05-29 00:00:00 UTC,1.4766495807242652,0.0,439572.84234136436
2021-05-30 00:00:00 UTC,1.4927003273755897,0.0,494025.1393201826
2021-05-31 00:00:00 UTC,1.5425385917448182,0.0,356022.2007764821
2021-06-01 00:00:00 UTC,1.6510223967838713,0.0,361411.02883717493
2021-06-02 00:00:00 UTC,1.591126250843324,0.0,440555.1536475152
2021-06-03 00:00:00 UTC,1.5719842184841195,0.0,328876.97191867273
2021-06-04 00:00:00 UTC,1.6291163702518732,0.0,139758.5841194351
2021-06-05 00:00:00 UTC,1.556433673768267,0.0,330806.246691541
2021-06-06 00:00:00 UTC,1.556550689690512,0.0,401125.388090384
2021-06-07 00:00:00 UTC,1.594966751667039,0.0,161238.56963958225
2021-06-08 00:00:00 UTC,1.5481488275598423,7449248.020476033,229636.0691396943
2021-06-09 00:00:00 UTC,1.548470837636011,7435154.748815616,622737.2783646551
2021-06-10 00:00:00 UTC,1.5628561377467545,7363470.5118906675,460949.5599246798
2021-06-11 00:00:00 UTC,1.4967735064502876,7000403.919607874,178989.7823713686
2021-06-12 00:00:00 UTC,1.5262701657357474,6863755.029456565,206553.26481012558
2021-06-13 00:00:00 UTC,1.5701782852376829,7109756.8587779375,430386.91037190746
2021-06-14 00:00:00 UTC,1.6331446856602374,7436590.728812526,69641.7083840352
2021-06-15 00:00:00 UTC,1.6066617681732132,7342422.661083233,98290.34629735509
2021-06-16 00:00:00 UTC,1.5482933763354887,7291118.39279923,176181.15192203803
2021-06-17 00:00:00 UTC,1.5807088958536883,7250111.45577077,488650.8378332602
2021-06-18 00:00:00 UTC,1.581084092654117,7247743.568655381,120642.13253860414
2021-06-19 00:00:00 UTC,1.538829404637254,7147144.6874209875,195224.16060037838
2021-06-20 00:00:00 UTC,1.5244631252089962,7065274.059341044,163007.89676127516
2021-06-21 00:00:00 UTC,1.551224467649632,7099648.364925544,355202.93147850427
2021-06-22 00:00:00 UTC,1.4893329126516714,6649607.703174577,444514.2105478661
2021-06-23 00:00:00 UTC,1.495567407573937,6576039.600500127,345603.43515545235
2021-06-24 00:00:00 UTC,1.532591656244841,6615875.326669323,259778.98460267935
2021-06-25 00:00:00 UTC,1.5079723524839723,6549370.797909156,223081.24547418006
2021-06-26 00:00:00 UTC,1.4765195261034045,6420284.819271198,297573.72452528507
2021-06-27 00:00:00 UTC,1.516795768492008,6481307.683823465,207498.72185098092
2021-06-28 00:00:00 UTC,1.533840037518515,6446537.845816612,246974.52060172556
2021-06-29 00:00:00 UTC,1.552313893627625,6539663.087187686,88615.8508587255
2021-06-30 00:00:00 UTC,1.4936593368818822,6507896.958236575,179077.5803582334
2021-07-01 00:00:00 UTC,1.5344664111736064,6586353.739354161,417260.15609829413
2021-07-02 00:00:00 UTC,1.5021136184505843,6389380.798480879,110850.08621777088
2021-07-03 00:00:00 UTC,1.5589079537614157,6453365.989743339,151438.71974355343
2021-07-04 00:00:00 UTC,1.5179232037401011,6532580.746116778,91640.59228157288
2021-07-05 00:00:00 UTC,1.5008958901862843,6478494.557990727,216528.25327945148
2021-07-06 00:00:00 UTC,1.4877632545726183,6116939.414695234,275041.7948155239
2021-07-07 00:00:00 UTC,1.4810959221613595,5910741.5916788485,95138.39143501777
2021-07-08 00:00:00 UTC,1.488924251971638,5865256.918005677,142516.56656295471
2021-07-09 00:00:00 UTC,1.4663607451757943,5406499.702278902,291332.0522916245
2021-07-10 00:00:00 UTC,1.51188175825296,5489443.827169438,239104.06790730308
2021-07-11 00:00:00 UTC,1.5112577022588003,5398372.863581041,44351.36139666828
2021-07-12 00:00:00 UTC,1.520958631032016,5485170.729918904,27778.109456713737
2021-07-13 00:00:00 UTC,1.473950959397217,5282143.540581263,62634.48239604502
2021-07-14 00:00:00 UTC,1.4663756805508157,5186104.582307694,138119.63709233803
2021-07-15 00:00:00 UTC,1.485166473760712,5283104.678933507,70095.54285582043
2021-07-16 00:00:00 UTC,1.4743573424955552,5249800.862039582,164452.69541015837
2021-07-17 00:00:00 UTC,1.4480259066391674,5108409.694804196,156252.2754072072
2021-07-18 00:00:00 UTC,1.4621555150413321,5084783.635227658,59446.24126987658
2021-07-19 00:00:00 UTC,1.4452057557650133,5008137.371829796,108774.50387715125
2021-07-20 00:00:00 UTC,1.4435095481364177,4926700.79358161,262556.48964696744
2021-07-21 00:00:00 UTC,1.4406967620422437,4951118.661042841,144812.96674058324
