snapped_at,price,market_cap,total_volume
2020-11-30 00:00:00 UTC,422.41441378591634,2959311.241839719,7868941.493730214
2020-12-01 00:00:00 UTC,422.41441378591634,2959311.241839719,7868941.493730214
2020-12-02 00:00:00 UTC,94.87593650405273,1564460.5749124428,3203898.777412601
2020-12-03 00:00:00 UTC,66.96071146899921,1693173.026034456,2173086.809508836
2020-12-04 00:00:00 UTC,87.36793904673637,2972662.9329036805,4060604.8180144704
2020-12-05 00:00:00 UTC,83.92248980367256,3687349.700586068,6501855.611414494
2020-12-06 00:00:00 UTC,109.71266794333013,3718131.124381474,5409331.782692353
2020-12-07 00:00:00 UTC,151.0389818314252,7543940.978439471,16163812.190255776
2020-12-08 00:00:00 UTC,148.145417722408,7422120.77834666,9605840.468618022
2020-12-09 00:00:00 UTC,74.06409105055221,3715840.6451577954,11143681.355941817
2020-12-10 00:00:00 UTC,45.055769204989936,2257787.1081355168,4324065.502710375
2020-12-11 00:00:00 UTC,9.497399402086739,718339.2672341698,2105191.2915045996
2020-12-12 00:00:00 UTC,1.4412080985242495,1145872.0401782442,3671898.782488352
2020-12-13 00:00:00 UTC,1.3440324414229152,3479063.193431325,5548432.769973955
2020-12-14 00:00:00 UTC,1.3517725988105613,5305307.030485439,4515460.218240805
2020-12-15 00:00:00 UTC,1.6314452310809562,8806722.67448144,8288657.215451519
2020-12-16 00:00:00 UTC,1.5407574427027968,13976308.205098888,11637371.187571462
2020-12-17 00:00:00 UTC,1.3085664628459734,19987094.654591173,12421102.825015364
2020-12-18 00:00:00 UTC,1.0630780074199202,21794273.02865606,16862862.867791936
2020-12-19 00:00:00 UTC,1.0498894573865785,22998897.105326723,20515761.617003586
2020-12-20 00:00:00 UTC,0.994057729681686,21881642.610905297,11309578.04325234
2020-12-21 00:00:00 UTC,1.0244211685710394,22534775.769213133,7822677.63948148
2020-12-22 00:00:00 UTC,1.018080831197767,22437667.519069843,7221826.80505583
2020-12-23 00:00:00 UTC,1.1159818652711302,24518104.06897051,10511277.993533855
2020-12-24 00:00:00 UTC,1.1276662554648589,26799797.272940625,11661516.733693788
2020-12-25 00:00:00 UTC,1.1411451124033476,30818033.388233602,9963254.223088434
2020-12-26 00:00:00 UTC,1.1758366038955042,36969274.15837119,12065420.784163997
2020-12-27 00:00:00 UTC,1.0828715253933743,39833946.486032486,14417561.231126225
2020-12-28 00:00:00 UTC,1.045001296354032,42043113.41346587,11659663.855114946
2020-12-29 00:00:00 UTC,1.0965346198556674,47556360.61689682,14696179.15335995
2020-12-30 00:00:00 UTC,1.2071589011172703,58976630.489238694,24749854.092357323
2020-12-31 00:00:00 UTC,1.2086868656804668,68531479.5359196,31677421.271119952
2021-01-01 00:00:00 UTC,1.1656376627463476,79546681.16411935,31977331.06033281
2021-01-02 00:00:00 UTC,1.0249786245954131,82369285.88729227,41876294.97147176
2021-01-03 00:00:00 UTC,1.0368840679419473,88754362.96134645,34118309.483344495
2021-01-04 00:00:00 UTC,1.0486225925456372,91119238.25010775,17815667.765381347
2021-01-05 00:00:00 UTC,0.9580930429701574,81429282.88351001,24797613.72926866
2021-01-06 00:00:00 UTC,1.0507176770440734,88924947.63647282,27979929.075697772
2021-01-07 00:00:00 UTC,1.0353024460078917,93008199.92078733,30003863.0834723
2021-01-08 00:00:00 UTC,0.9956297082966736,87356463.90917906,42133318.344941154
2021-01-09 00:00:00 UTC,0.875197318559472,74757527.18724878,39222150.22328791
2021-01-10 00:00:00 UTC,0.8802793423841951,56732975.19669955,96554336.456678
2021-01-11 00:00:00 UTC,0.870668954235025,53903691.804804586,15147232.434157066
2021-01-12 00:00:00 UTC,0.7247649184699994,45078244.287627615,9802214.730376586
2021-01-13 00:00:00 UTC,0.7556237490183044,46287694.49334293,9633259.765362194
2021-01-14 00:00:00 UTC,0.838818874753822,51491925.29576464,10024422.641809935
2021-01-15 00:00:00 UTC,0.9000271912100296,55395179.86110276,34080567.144135796
2021-01-16 00:00:00 UTC,0.8436786241750541,51774841.26803936,14244159.90207967
2021-01-17 00:00:00 UTC,0.7469795798129861,45784938.013180435,8981158.529476445
2021-01-18 00:00:00 UTC,0.666623946984546,41045534.62373392,6226672.118853957
2021-01-19 00:00:00 UTC,0.5445581772524148,33388005.465793192,16869109.1833812
2021-01-20 00:00:00 UTC,0.5811503606791217,35768358.925301544,4546613.205042446
2021-01-21 00:00:00 UTC,0.6592368373522294,40155458.98581835,8310756.764305201
2021-01-22 00:00:00 UTC,0.588071606819908,36325954.277541846,5091461.487730996
2021-01-23 00:00:00 UTC,0.6084986976983175,37308333.054857954,6058859.041815409
2021-01-24 00:00:00 UTC,0.5660084278406445,34776642.99868484,4762279.898413673
2021-01-25 00:00:00 UTC,0.5198894764350522,31807443.354728114,3374915.049187132
2021-01-26 00:00:00 UTC,0.4780656227049796,29013724.204767495,5949362.621243903
2021-01-27 00:00:00 UTC,0.44864578040653186,27109853.67804093,3013988.890268794
2021-01-28 00:00:00 UTC,0.4493593775053173,27097478.063011665,1873621.3682453705
2021-01-29 00:00:00 UTC,0.39856733446656495,24285081.51601805,2717121.8983517904
2021-01-30 00:00:00 UTC,0.32328984330128324,19587387.930361032,3491156.896157346
2021-01-31 00:00:00 UTC,0.33815517171477444,20252160.257742867,4584452.402752462
2021-02-01 00:00:00 UTC,0.37600558105839127,22358759.924154162,4804085.057258341
2021-02-02 00:00:00 UTC,0.48301226191137175,28162801.932895057,10437302.28500967
2021-02-03 00:00:00 UTC,0.5508542713998446,32315515.384628244,7949471.236717787
